"Name of Covered Entity","State","Covered Entity Type","Individuals Affected","Breach Submission Date","Type of Breach","Location of Breached Information","Business Associate Present","Web Description"
"Plymouth Tube Company Employee Benefit Plan","IL","Health Plan","2652","03/13/2024","Hacking/IT Incident","Network Server","No",""
"A5 PHARMACY INC.","NY","Healthcare Provider","3000","03/13/2024","Hacking/IT Incident","Network Server","No",""
"UC San Diego Health Hillcrest- Hillcrest Medical Center","CA","Healthcare Provider","1642","03/08/2024","Hacking/IT Incident","Email","No",""
"Orsini Pharmaceutical Services, LLC","IL","Healthcare Provider","1433","03/08/2024","Hacking/IT Incident","Email","No",""
"Jewish Home Lifecare, Inc. ","NY","Healthcare Provider","501","03/08/2024","Hacking/IT Incident","Network Server","No",""
"Seaglass Chiropractic","NJ","Healthcare Provider","650","03/06/2024","Theft","Laptop, Other Portable Electronic Device","No",""
"BlueCross BlueShield of Tennessee, Inc. and Volunteer State Health Plan, Inc. d/b/a BlueCare Plus Tennessee","TN","Health Plan","1251","03/05/2024","Hacking/IT Incident","Network Server","No",""
"Orlando VA Medical Center","FL","Healthcare Provider","10059","03/05/2024","Unauthorized Access/Disclosure","Email","No",""
"Bay Surgical Specialists, LLC","FL","Healthcare Provider","1505","03/04/2024","Hacking/IT Incident","Network Server","Yes",""
"Lake of the Woods County Social Services","MN","Healthcare Provider","537","03/04/2024","Hacking/IT Incident","Network Server","No",""
"Yakima Valley Radiology, PC","WA","Healthcare Provider","235249","03/01/2024","Hacking/IT Incident","Network Server","No",""
"DGA-Producer Pension & Health Plans","CA","Health Plan","4211","02/29/2024","Hacking/IT Incident","Network Server","Yes",""
"Highland Health Systems","AL","Healthcare Provider","500","02/29/2024","Hacking/IT Incident","Network Server","No",""
"Eastern Radiologists, Inc","NC","Healthcare Provider","886746","02/29/2024","Hacking/IT Incident","Network Server","No",""
"Ada Technologies, Inc. ","OH","Health Plan","2398","02/29/2024","Hacking/IT Incident","Network Server","No",""
"kmj Health Solutions","MI","Business Associate","2191","02/28/2024","Hacking/IT Incident","Network Server","Yes",""
"Littleton Regional Healthcare","NH","Healthcare Provider","12614","02/28/2024","Unauthorized Access/Disclosure","Email","No",""
"Oakland Community Health Network","MI","Health Plan","607","02/28/2024","Unauthorized Access/Disclosure","Email","No",""
" Ohio Neurologic Institute","OH","Healthcare Provider","5548","02/28/2024","Theft","Laptop","No",""
"Northeast Orthopedics and Sports Medicine, PLLC","NY","Healthcare Provider","177101","02/27/2024","Hacking/IT Incident","Network Server","No",""
"Ascend Healthcare Management LLC","AZ","Healthcare Provider","791","02/26/2024","Hacking/IT Incident","Other","No",""
"Bay Area Anesthesia, LLC","FL","Healthcare Provider","15196","02/26/2024","Hacking/IT Incident","Network Server","Yes",""
